time_index,instant_accuracy_percent,cumulative_accuracy_percent
0,73.35078710890063,73.35078710890063
1,73.04060661064578,73.19569685977321
2,73.65204899654333,73.34781423869659
3,73.35078710890063,73.34855745624759
4,73.04060661064578,73.28696728712723
5,73.65204899654333,73.34781423869659
6,73.35078710890063,73.34823893444002
7,73.04060661064578,73.30978489396574
8,73.65204899654333,73.34781423869657
9,73.35078710890063,73.34811152571697
10,73.04060661064578,73.32015653343778
11,73.65204899654333,73.34781423869657
12,73.35078710890063,73.34804292101995
13,73.04060661064578,73.32608318456467
14,73.65204899654333,73.34781423869657
15,73.35078710890063,73.34800004308433
16,73.04060661064578,73.32991807647029
17,73.65204899654333,73.34781423869657
18,73.35078710890063,73.34797070554941
19,73.04060661064578,73.33260250080423
20,73.65204899654333,73.34781423869656
21,73.35078710890063,73.34794936916039
22,73.04060661064578,73.33458664052931
23,73.65204899654333,73.34781423869656
24,73.35078710890063,73.34793315350473
25,73.04060661064578,73.3361129018563
26,73.65204899654333,73.34781423869656
27,73.35078710890063,73.34792041263242
28,73.04060661064578,73.3373233849777
29,73.65204899654333,73.34781423869656
30,73.35078710890063,73.34791013773538
31,73.04060661064578,73.33830690251384
32,73.65204899654333,73.34781423869654
33,73.35078710890063,73.34790167605549
34,73.9449243483317,73.36495946669196
35,73.65204899654333,73.37293417585448
36,73.35078710890063,73.37233560647735
37,73.9449243483317,73.38740373126299
38,73.65204899654333,73.39418950729582
39,73.35078710890063,73.39310444733594
40,73.9449243483317,73.40656346931145
41,73.65204899654333,73.41240836281698
42,73.35078710890063,73.4109753104003
43,73.9449243483317,73.42311051580783
44,73.65204899654333,73.42819803760196
45,73.35078710890063,73.42651519132585
46,73.9449243483317,73.4375451733898
47,73.65204899654333,73.44201400303884
48,73.35078710890063,73.44015222968906
49,73.9449243483317,73.45024767206192
50,73.65204899654333,73.45420456077724
51,73.35078710890063,73.45221576362577
52,73.9449243483317,73.46151215201645
53,73.65204899654333,73.46504061210028
54,73.35078710890063,73.46296327567846
55,73.9449243483317,73.47156972340441
56,73.65204899654333,73.47473602644195
57,73.35078710890063,73.4725989761395
58,73.9449243483317,73.48060449092242
59,73.65204899654333,73.48346189934942
60,73.9449243483317,73.49102685752946
61,73.65204899654333,73.49362398880388
62,73.9449243483317,73.50078748657415
63,73.65204899654333,73.50315094766742
64,73.9449243483317,73.5099474615238
65,73.65204899654333,73.5121005150847
66,74.22989806311814,73.52281391132401
67,73.9449243483317,73.52902141775058
68,73.65204899654333,73.53080442613889
69,74.22989806311814,73.54079147809573
70,73.9449243483317,73.54648349035257
71,73.65204899654333,73.54794967793856
72,74.22989806311814,73.55729143663964
73,73.9449243483317,73.56252971923008
74,73.65204899654333,73.56372330959425
75,74.22989806311814,73.57248876687747
76,73.9449243483317,73.57732559261063
77,73.65204899654333,73.57828358496874
78,74.22989806311814,73.5865318695023
79,73.9449243483317,73.59101177548766
80,73.65204899654333,73.5917653214266
81,74.22989806311814,73.59954742803261
82,73.9449243483317,73.60370859574705
83,73.65204899654333,73.60428407670891
84,74.22989806311814,73.61164424125491
85,73.9449243483317,73.61551959133719
86,74.22989806311814,73.62258141285191
87,73.9449243483317,73.6262444007551
88,74.5074133333414,73.63614517527853
89,74.22989806311814,73.64274242958787
90,73.9449243483317,73.64606311001361
91,74.5074133333414,73.65542561244109
92,74.22989806311814,73.66160273556666
93,73.9449243483317,73.66461679527691
94,74.5074133333414,73.67348833778286
95,74.22989806311814,73.67928427242177
96,73.9449243483317,73.68202282990538
97,74.5074133333414,73.69044518198125
98,74.22989806311814,73.69589420098264
99,73.9449243483317,73.69838450245612
100,74.5074133333414,73.70639468890053
101,74.22989806311814,73.71152707492227
102,73.9449243483317,73.71379306786798
103,74.5074133333414,73.72142403195907
104,74.22989806311814,73.72626664177965
105,73.9449243483317,73.72832945033201
106,74.5074133333414,73.73561060811714
107,74.22989806311814,73.7401873438116
108,73.9449243483317,73.74206566495398
109,74.5074133333414,73.74902337103023
110,74.22989806311814,73.75335557546346
111,73.9449243483317,73.7550660109355
112,74.5074133333414,73.76172395184174
113,74.22989806311814,73.76583074229154
114,73.9449243483317,73.76738807799624
115,74.5074133333414,73.77376760605956
116,74.22989806311814,73.7776661569746
117,73.9449243483317,73.77908359927424
118,74.5074133333414,73.78520401720759
119,74.22989806311814,73.7889098009235
120,73.9449243483317,73.79019917734837
121,74.5074133333414,73.7960779819057
122,74.22989806311814,73.79960497443588
123,73.9449243483317,73.80077690487053
124,74.5074133333414,73.8064299962983
125,74.22989806311814,73.80979085397148
126,73.9449243483317,73.81085489723417
127,74.5074133333414,73.81629676001626
128,74.22989806311814,73.81950297166821
129,73.9449243483317,73.8204677514887
130,74.5074133333414,73.82571161089217
131,74.22989806311814,73.82877362946964
132,74.77787633986466,73.83590974007411
133,74.5074133333414,73.8409209609194
134,74.22989806311814,73.84380227278754
135,74.77787633986466,73.85067046445724
136,74.5074133333414,73.85546420802574
137,74.22989806311814,73.85817749683075
138,74.77787633986466,73.86479403526985
139,74.5074133333414,73.86938417311323
140,74.22989806311814,73.87194100921255
141,74.77787633986466,73.87832083548476
142,74.5074133333414,73.88272008372152
143,74.22989806311814,73.88513104191178
144,74.77787633986466,73.8912879060356
145,74.5074133333414,73.89550794320893
146,74.22989806311814,73.8977827059294
147,74.77787633986466,73.90372928453708
148,74.5074133333414,73.90778085533442
149,74.22989806311814,73.90992830338632
150,74.77787633986466,73.9156763036279
151,74.5074133333414,73.91956931040234
152,74.22989806311814,73.92159760290374
153,74.77787633986466,73.92715785444247
154,74.5074133333414,73.9309014381773
155,74.22989806311814,73.93281808320897
156,74.77787633986466,73.93820061987557
157,74.5074133333414,73.94180323198613
158,74.22989806311814,73.94361514916305
159,74.77787633986466,73.94882928160494
160,74.5074133333414,73.9522987477648
161,74.22989806311814,73.9540123237855
162,74.77787633986466,73.95906670425225
163,74.5074133333414,73.9624102812589
164,74.22989806311814,73.96403141933078
165,74.77787633986466,73.96893409957497
166,74.5074133333414,73.97215852612446
167,74.22989806311814,73.97369269003514
